book_url,cartoon_type,cartoon_url,describe,image_url,next_book_url,next_image_url,next_name,serialize,sub_type
https://www.manhuadb.com/manhua/7790/9705_138029.html,恐怖,https://www.manhuadb.com/manhua/list-c-16.html,一夕之间东京全变了样，群屍咬人的情况如同瘟疫般蔓延各个角落！！平凡无奇的大学生染谷优和女高中生水森郁世以及其他幸免者，究竟该如何在乌鸦盘旋、活屍横行的城市里生存下来呢？,https://i2.manhuadb.com/static/9705/138029/1_jachmhig.jpg,https://www.manhuadb.com/manhua/7790,https://media.manhuadb.com/cartoon/7790_cover_umsatbcm.jpg,东京活尸（Tokyo Summer of The Dead）,连载中,恐怖 悬疑
https://www.manhuadb.com/manhua/7816/9726_138270.html,恐怖,https://www.manhuadb.com/manhua/list-c-16.html,内容叙述一名男子在新宿街头大量吐血而死，原因成谜，负责验尸的小野寺和关口二位医生推测死因可能是某种不明的病毒感染。而当初曾待在事发现场的一名高中女生，身体也出现了异常的变化。这种前所未有的新型病毒，即将在日本引发大传染，造成人类危机！,https://i2.manhuadb.com/static/9726/138270/1_wsbjkdgr.jpg,https://www.manhuadb.com/manhua/7816,https://media.manhuadb.com/cartoon/7816_cover_vyzyablj.jpg,致命病毒（Emerging）,已完结,恐怖 None
https://www.manhuadb.com/manhua/25402/27599_276936.html,纯爱,https://www.manhuadb.com/manhua/list-c-72.html,"求你，不要这么咬我漫画 ，「3dho」染了金发准备在大学展现一番的、总是不够潮流又脱离不了土气的柳。
虽然很羡慕与这样的自己正相反的，又帅又受女生欢迎的打工的前辈・五十岚，但是不知道为何对他有种说不上的念头。
然后有一天，看到无心笑着的五十岚口中所露出来的尖锐小虎牙。被其魅力所吸引的柳，不觉将手伸到他的嘴边。
然后突然手指就被咬了――！ ？
而且、像是被戏弄般的舔舐让他陷入大恐慌中！
这个人到底、在想什么！ ？欢迎在漫画DB观看求你，不要这么咬我漫画",https://i2.manhuadb.com/static/27599/276936/1_wwxljtcm.jpg,https://www.manhuadb.com/manhua/25402,https://media.manhuadb.com/cartoon/25402_cover_kbjuwvtb.jpg,求你，不要这么咬我,连载中,纯爱 None
https://www.manhuadb.com/manhua/25409/27606_276943.html,纯爱,https://www.manhuadb.com/manhua/list-c-72.html,"你的不用太浪费了漫画 ，「exjs」巨根童●×淫乱医生超H的爱情♥疗法
「28岁・童●。因为雕太大所以做爱老被拒…！」
颜质高、个性好，工作能力一流─卻因为正常尺寸外的♂而总被女性拒绝的上班族・日下部要，去了从街上意外发现的「下半身专门门诊」接受咨询。「明明是巨●卻是童●！！ 这不治好不行」主治医师・百濑湊，对日下部的下半身兴趣满满♪又是摸又是搓的…用H的摸法触诊（？），让硬梆梆的♂爆发！！ 明明脸上沾满了●液，医生看起来卻性致高昂…！？！？欢迎在漫画DB观看你的不用太浪费了漫画",https://i2.manhuadb.com/static/27606/276943/1_etqohpte.jpg,https://www.manhuadb.com/manhua/25409,https://media.manhuadb.com/cartoon/25409_cover_uoewmpsh.jpg,你的不用太浪费了,连载中,纯爱 None
https://www.manhuadb.com/manhua/25398/27595_276913.html,纯爱,https://www.manhuadb.com/manhua/list-c-72.html,开往爱情的拖拉机漫画 ，因为爷爷病了，借机逃避替爷爷照看农物，遇见开着拖拉机的他，开始了可可爱爱の爱情故事。欢迎在漫画DB观看开往爱情的拖拉机漫画,https://i2.manhuadb.com/static/27595/276913/1_goeifflz.jpg,https://www.manhuadb.com/manhua/25398,https://media.manhuadb.com/cartoon/25398_cover_atbipdeo.jpg,开往爱情的拖拉机,连载中,纯爱 None
https://www.manhuadb.com/manhua/24143/26348_263989.html,四格,https://www.manhuadb.com/manhua/list-c-56.html,僵尸少女小骸漫画 ，四周的人都对她敬而远之，却依旧元气满满的僵尸少女·小骸，以及她唯一一个人类好友·瑠璃。略微悲伤的温馨日常生活。欢迎在漫画DB观看僵尸少女小骸漫画,https://i2.manhuadb.com/static/26348/263989/1_gngxfxen.jpg,https://www.manhuadb.com/manhua/24143,https://media.manhuadb.com/cartoon/24143_cover_vcbnihbp.jpg,僵尸少女小骸,连载中,四格 奇幻
https://www.manhuadb.com/manhua/24295/26499_265010.html,四格,https://www.manhuadb.com/manhua/list-c-56.html,30岁第一次养猫漫画 ，对恋人、婚活、兴趣、工作、什么都不懂的30岁女子说话的猫先生来了。陷入到正论尖锐的吐槽，呼呼大睡，天马行空…。无论回头还是抱怨，借助猫先生的力量，一步一步活出自己的样子吧。欢迎在漫画DB观看30岁第一次养猫漫画,https://i2.manhuadb.com/static/26499/265010/1_gnlfysna.jpg,https://www.manhuadb.com/manhua/24295,https://media.manhuadb.com/cartoon/24295_cover_pmoeetsx.jpg,30岁第一次养猫,连载中,四格 治愈
https://www.manhuadb.com/manhua/25412/27609_276947.html,纯爱,https://www.manhuadb.com/manhua/list-c-72.html,嫉妒让爱蒙上阴翳漫画 ，「坠入爱河，没想到只要一瞬」陨落的才子×大器晚成的天才。从自卑感到被束缚的递进爱情故事！ 桐野感觉到了自己的才情减退。后辈的高濑是一个天真烂漫，人见人爱，散发着耀眼才能的人。他一直缠着桐野，这让桐野觉得很烦，并视他为眼中钉。而后辈没有一丝迷茫地对桐野说「前辈就是我的一切」…… 桐野信不过高濑，利用他对自己的憧憬，抱着想要让他感到困扰的心情，玩弄起了高濑。在我身边却不敢和我对视，因为期待微微颤抖着的你宛如小狗一般可爱。 高濑的言听计从让桐野开始沾沾自喜，并渐渐变得离不开桐野了——…！？欢迎在漫画DB观看嫉妒让爱蒙上阴翳漫画,https://i2.manhuadb.com/static/27609/276947/1_wnyuibnn.jpg,https://www.manhuadb.com/manhua/25412,https://media.manhuadb.com/cartoon/25412_cover_ezgpgptf.jpg,嫉妒让爱蒙上阴翳,连载中,纯爱 None
https://www.manhuadb.com/manhua/1324/1422_13783.html,杂志,https://www.manhuadb.com/manhua/list-c-42.html, 宫崎骏印象绘本 ,https://i2.manhuadb.com/ccbaike/1422/13783/1_tjzxoage.jpg,https://www.manhuadb.com/manhua/1324,https://media.manhuadb.com/cartoon/1324_cover_pzzzycme.jpg,宫崎骏印象绘本,已完结,杂志 None
https://www.manhuadb.com/manhua/24304/26508_265027.html,四格,https://www.manhuadb.com/manhua/list-c-56.html,"请问您今天要来点兔子吗？Rabbit House同人选集~coffee break~漫画 ，新作动画特别篇（Dear my sister）剧场上映！《请问您今天要来点兔子吗？》的全新漫画选集登场！这次选集以心爱和智乃她们工作的地方Rabbit House作为舞台。请期待可能会有的“Rabbit House的日常”。封面是迎来了作为人气插画画家的藤真拓哉进行作画，封底是登载了牛乳のみお的四格漫画！
欢迎在漫画DB观看请问您今天要来点兔子吗？Rabbit House同人选集~coffee break~漫画",https://i2.manhuadb.com/static/26508/265027/1_kofcpeyv.jpg,https://www.manhuadb.com/manhua/24304,https://media.manhuadb.com/cartoon/24304_cover_zmszesvu.jpg,请问您今天要来点兔子吗？Rabbit House同人选集~coffee break~,连载中,四格 治愈
